









Frequency of observations in the selected location(s).:
Number of taxa: 	604

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	5918.0	3450.0	3192.0	3657.0	2343.0	2613.0	2956.0	2186.0	2524.0	2853.0	2519.0	4476.0	3398.0	3652.0	4416.0	7048.0	8575.0	13683.0	12177.0	7454.0	3211.0	2526.0	2633.0	2998.0	2329.0	2047.0	2211.0	3303.0	2634.0	3012.0	3270.0	5286.0	4439.0	5307.0	6445.0	10588.0	10564.0	10969.0	11898.0	8995.0	4090.0	3220.0	3035.0	3444.0	2213.0	2094.0	3171.0	3308.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001516	0.0	0.0062413	0.0014757	0.0015571	0.0055424	0.0064565	0.0113409	0.0	0.0048852	0.0040706	0.0066606	0.0	0.001992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0464684	0.0376812	0.0382206	0.0311731	0.0341443	0.0244929	0.0314614	0.0301921	0.0194136	0.0297932	0.0218341	0.0084897	0.0079459	0.0049288	6.793E-4	1.419E-4	2.332E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.833E-4	0.0027452	0.0073844	0.0098336	0.0113396	0.0190709	0.0310559	0.04514	0.0484901	0.0497063	0.0802292	0.0394197	0.0374849	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0028726	0.0	3.133E-4	0.0016407	0.0029876	0.0061232	0.0020298	4.575E-4	0.0031696	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.445E-4	3.106E-4	0.0015	5.807E-4	0.0018075	0.0014327	3.154E-4	0.0	
Snow/Ross's Goose (<em class="sci">Anser caerulescens/rossii</em>)	0.0	0.0	0.0	0.0	4.268E-4	0.0	3.383E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4E-5	0.0	0.0	0.0	0.0	0.0	0.0	4.776E-4	9.461E-4	3.023E-4	
Graylag Goose (<em class="sci">Anser anser</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.884E-4	0.0	9.44E-5	0.0	2.735E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0038864	0.0	3.133E-4	0.0010938	0.0029876	0.0045924	0.0084574	0.0041171	0.0126783	0.0031546	3.97E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.552E-4	0.0	0.0	0.0	8.4E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021161	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0	0.0	0.0	0.0049221	0.0059752	0.0042097	0.0040595	0.0013724	3.962E-4	0.001402	0.0019849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0028726	8.696E-4	3.133E-4	8.203E-4	0.0012804	0.0	0.0	4.575E-4	0.0	3.505E-4	0.0	0.0	0.0011772	0.0015	0.0	1.419E-4	4.665E-4	2.193E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.294E-4	0.0	0.0	0.0	3.797E-4	0.0	3.058E-4	0.0	9.011E-4	0.0011306	0.0012413	0.0029278	0.0012306	0.0020057	0.0032779	0.0043357	0.003423	0.002795	0.0039539	0.0052265	0.0027113	0.0033429	0.0012614	9.069E-4	
