









Frequency of observations in the selected location(s).:
Number of taxa: 	929

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	107375.0	78788.0	79909.0	98250.0	68364.0	90509.0	132181.0	77509.0	79787.0	89842.0	90024.0	132208.0	104674.0	108810.0	104161.0	145764.0	142809.0	149790.0	129580.0	138661.0	82446.0	76918.0	72634.0	83005.0	66773.0	59077.0	56265.0	79007.0	56642.0	55994.0	57651.0	88609.0	69194.0	67297.0	68497.0	81496.0	67983.0	72482.0	65818.0	88463.0	63595.0	61396.0	57122.0	74190.0	53162.0	53818.0	63321.0	88924.0	

Emu (<em class="sci">Dromaius novaehollandiae</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.888E-4	0.0	0.0	0.0	9.6E-6	0.0	2.451E-4	0.0015	3.396E-4	5.914E-4	0.0011038	0.0014561	0.0010739	0.0013614	6.29E-4	0.0013372	4.799E-4	0.0014556	6.356E-4	9.644E-4	0.0014224	2.37E-4	5.636E-4	3.863E-4	2.044E-4	2.331E-4	1.47E-5	0.0	0.0	4.52E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Fulvous Whistling-Duck (<em class="sci">Dendrocygna bicolor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	6.49E-5	1.092E-4	0.0	0.0	0.0	0.0	0.0	1.78E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	
Fulvous/Lesser Whistling-Duck (<em class="sci">Dendrocygna bicolor/javanica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose (<em class="sci">Anser indicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6E-6	0.0015	0.0	0.0	1.37E-5	7.0E-6	0.0015	7.7E-6	7.2E-6	0.0015	0.0015	4.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94E-5	0.0	6.08E-5	1.13E-5	0.0	0.0	7.0E-5	0.0	0.0	0.0	0.0	0.0	
Emperor Goose (<em class="sci">Anser canagicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.09E-5	0.0	1.86E-5	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0202561	0.0183023	0.0192219	0.0161527	0.0133404	0.0094245	0.0105083	0.028358	0.0363844	0.048051	0.0390785	0.0279559	0.012066	0.0076004	0.0054627	0.0044112	0.0033261	0.0024835	0.002485	0.0025963	0.0021711	0.0023532	0.0019137	0.0010722	0.0010483	0.0015573	0.0012797	0.0016075	0.0022951	0.001643	0.0015958	0.002054	0.0020088	0.0019466	0.0023213	0.0036934	0.0080167	0.0083745	0.0093439	0.0112476	0.0128469	0.0137631	0.0144603	0.0163769	0.0211429	0.0273143	0.0210041	0.017768	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0014156	0.0026019	0.0012014	4.987E-4	9.362E-4	8.065E-4	1.816E-4	0.0013031	0.0023437	0.0024042	0.0011441	8.169E-4	4.299E-4	4.228E-4	4.512E-4	1.852E-4	1.681E-4	1.335E-4	4.399E-4	7.2E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26E-5	0.0	0.0	1.022E-4	1.104E-4	3.089E-4	3.725E-4	0.0012459	0.0011756	0.0011636	0.00215	0.0016631	0.0012131	0.0019563	0.0032145	0.001295	0.0016419	
